master_did,name,seed,noise
72,3_sp_gt_1,115475,0.01
73,3_sp_gt_1,115475,0.1
74,3_sp_gt_1,2721265,0.01
75,3_sp_gt_1,2721265,0.1
76,3_sp_gt_1,309357,0.01
77,3_sp_gt_1,309357,0.1
78,3_sp_gt_1,9668522,0.01
79,3_sp_gt_1,9668522,0.1
80,3_sp_gt_1,2698393,0.01
81,3_sp_gt_1,2698393,0.1
82,3_sp_gt_1,9638443,0.01
83,3_sp_gt_1,9638443,0.1
84,3_sp_gt_1,11499954,0.01
85,3_sp_gt_1,11499954,0.1
86,3_sp_gt_1,1444356,0.01
87,3_sp_gt_1,1444356,0.1
88,3_sp_gt_1,8745245,0.01
89,3_sp_gt_1,8745245,0.1
90,3_sp_gt_1,7964854,0.01
91,3_sp_gt_1,7964854,0.1
92,3_sp_gt_1,1768742,0.01
93,3_sp_gt_1,1768742,0.1
94,3_sp_gt_1,8139908,0.01
95,3_sp_gt_1,8139908,0.1
96,3_sp_gt_1,10646715,0.01
97,3_sp_gt_1,10646715,0.1
98,3_sp_gt_1,10999907,0.01
99,3_sp_gt_1,10999907,0.1
100,3_sp_gt_2,36656,0.01
101,3_sp_gt_2,36656,0.1
102,3_sp_gt_2,2369231,0.01
103,3_sp_gt_2,2369231,0.1
104,3_sp_gt_2,416304,0.01
105,3_sp_gt_2,416304,0.1
106,3_sp_gt_2,10488077,0.01
107,3_sp_gt_2,10488077,0.1
108,3_sp_gt_2,8982779,0.01
109,3_sp_gt_2,8982779,0.1
110,3_sp_gt_2,12733201,0.01
111,3_sp_gt_2,12733201,0.1
112,3_sp_gt_2,9845126,0.01
113,3_sp_gt_2,9845126,0.1
114,3_sp_gt_2,9036584,0.01
115,3_sp_gt_2,9036584,0.1
116,3_sp_gt_2,5140131,0.01
117,3_sp_gt_2,5140131,0.1
118,3_sp_gt_2,8493390,0.01
119,3_sp_gt_2,8493390,0.1
120,3_sp_gt_2,3049039,0.01
121,3_sp_gt_2,3049039,0.1
122,3_sp_gt_2,2753893,0.01
123,3_sp_gt_2,2753893,0.1
124,3_sp_gt_2,11563241,0.01
125,3_sp_gt_2,11563241,0.1
126,3_sp_gt_2,5589942,0.01
127,3_sp_gt_2,5589942,0.1
128,3_sp_gt_2,2091765,0.01
129,3_sp_gt_2,2091765,0.1
130,3_sp_gt_2,2905119,0.01
131,3_sp_gt_2,2905119,0.1
132,3_sp_gt_2,4240255,0.01
133,3_sp_gt_2,4240255,0.1
134,3_sp_gt_2,10011807,0.01
135,3_sp_gt_2,10011807,0.1
136,3_sp_gt_2,5576645,0.01
137,3_sp_gt_2,5576645,0.1
138,3_sp_gt_2,591973,0.01
139,3_sp_gt_2,591973,0.1
140,3_sp_gt_2,4211685,0.01
141,3_sp_gt_2,4211685,0.1
142,3_sp_gt_2,9275155,0.01
143,3_sp_gt_2,9275155,0.1
144,3_sp_gt_2,10793741,0.01
145,3_sp_gt_2,10793741,0.1
146,3_sp_gt_2,41300,0.01
147,3_sp_gt_2,41300,0.1
148,3_sp_gt_2,2858482,0.01
149,3_sp_gt_2,2858482,0.1
150,3_sp_gt_2,6550368,0.01
151,3_sp_gt_2,6550368,0.1
152,3_sp_gt_2,3346496,0.01
153,3_sp_gt_2,3346496,0.1
154,3_sp_gt_2,12305126,0.01
155,3_sp_gt_2,12305126,0.1
156,3_sp_gt_2,8717317,0.01
157,3_sp_gt_2,8717317,0.1
158,3_sp_gt_2,6543552,0.01
159,3_sp_gt_2,6543552,0.1
160,3_sp_gt_2,5614865,0.01
161,3_sp_gt_2,5614865,0.1
162,3_sp_gt_2,9104526,0.01
163,3_sp_gt_2,9104526,0.1
164,3_sp_gt_2,10435541,0.01
165,3_sp_gt_2,10435541,0.1
166,3_sp_gt_2,11942766,0.01
167,3_sp_gt_2,11942766,0.1
168,3_sp_gt_2,6667140,0.01
169,3_sp_gt_2,6667140,0.1
170,3_sp_gt_2,10471522,0.01
171,3_sp_gt_2,10471522,0.1
172,3_sp_gt_2,115475,0.01
173,3_sp_gt_2,115475,0.1
174,3_sp_gt_2,2721265,0.01
175,3_sp_gt_2,2721265,0.1
176,3_sp_gt_2,309357,0.01
177,3_sp_gt_2,309357,0.1
178,3_sp_gt_2,9668522,0.01
179,3_sp_gt_2,9668522,0.1
180,3_sp_gt_2,2698393,0.01
181,3_sp_gt_2,2698393,0.1
182,3_sp_gt_2,9638443,0.01
183,3_sp_gt_2,9638443,0.1
184,3_sp_gt_2,11499954,0.01
185,3_sp_gt_2,11499954,0.1
186,3_sp_gt_2,1444356,0.01
187,3_sp_gt_2,1444356,0.1
188,3_sp_gt_2,8745245,0.01
189,3_sp_gt_2,8745245,0.1
190,3_sp_gt_2,7964854,0.01
191,3_sp_gt_2,7964854,0.1
192,3_sp_gt_2,1768742,0.01
193,3_sp_gt_2,1768742,0.1
194,3_sp_gt_2,8139908,0.01
195,3_sp_gt_2,8139908,0.1
196,3_sp_gt_2,10646715,0.01
197,3_sp_gt_2,10646715,0.1
198,3_sp_gt_2,10999907,0.01
199,3_sp_gt_2,10999907,0.1
200,3_sp_gt_3,36656,0.01
201,3_sp_gt_3,36656,0.1
202,3_sp_gt_3,2369231,0.01
203,3_sp_gt_3,2369231,0.1
204,3_sp_gt_3,416304,0.01
205,3_sp_gt_3,416304,0.1
206,3_sp_gt_3,10488077,0.01
207,3_sp_gt_3,10488077,0.1
208,3_sp_gt_3,8982779,0.01
209,3_sp_gt_3,8982779,0.1
210,3_sp_gt_3,12733201,0.01
211,3_sp_gt_3,12733201,0.1
212,3_sp_gt_3,9845126,0.01
213,3_sp_gt_3,9845126,0.1
214,3_sp_gt_3,9036584,0.01
215,3_sp_gt_3,9036584,0.1
216,3_sp_gt_3,5140131,0.01
217,3_sp_gt_3,5140131,0.1
218,3_sp_gt_3,8493390,0.01
219,3_sp_gt_3,8493390,0.1
220,3_sp_gt_3,3049039,0.01
221,3_sp_gt_3,3049039,0.1
222,3_sp_gt_3,2753893,0.01
223,3_sp_gt_3,2753893,0.1
224,3_sp_gt_3,11563241,0.01
225,3_sp_gt_3,11563241,0.1
226,3_sp_gt_3,5589942,0.01
227,3_sp_gt_3,5589942,0.1
228,3_sp_gt_3,2091765,0.01
229,3_sp_gt_3,2091765,0.1
230,3_sp_gt_3,2905119,0.01
231,3_sp_gt_3,2905119,0.1
232,3_sp_gt_3,4240255,0.01
233,3_sp_gt_3,4240255,0.1
234,3_sp_gt_3,10011807,0.01
235,3_sp_gt_3,10011807,0.1
236,3_sp_gt_3,5576645,0.01
237,3_sp_gt_3,5576645,0.1
238,3_sp_gt_3,591973,0.01
239,3_sp_gt_3,591973,0.1
240,3_sp_gt_3,4211685,0.01
241,3_sp_gt_3,4211685,0.1
242,3_sp_gt_3,9275155,0.01
243,3_sp_gt_3,9275155,0.1
244,3_sp_gt_3,10793741,0.01
245,3_sp_gt_3,10793741,0.1
246,3_sp_gt_3,41300,0.01
247,3_sp_gt_3,41300,0.1
248,3_sp_gt_3,2858482,0.01
249,3_sp_gt_3,2858482,0.1
250,3_sp_gt_3,6550368,0.01
251,3_sp_gt_3,6550368,0.1
252,3_sp_gt_3,3346496,0.01
253,3_sp_gt_3,3346496,0.1
254,3_sp_gt_3,12305126,0.01
255,3_sp_gt_3,12305126,0.1
256,3_sp_gt_3,8717317,0.01
257,3_sp_gt_3,8717317,0.1
258,3_sp_gt_3,6543552,0.01
259,3_sp_gt_3,6543552,0.1
260,3_sp_gt_3,5614865,0.01
261,3_sp_gt_3,5614865,0.1
262,3_sp_gt_3,9104526,0.01
263,3_sp_gt_3,9104526,0.1
264,3_sp_gt_3,10435541,0.01
265,3_sp_gt_3,10435541,0.1
266,3_sp_gt_3,11942766,0.01
267,3_sp_gt_3,11942766,0.1
268,3_sp_gt_3,6667140,0.01
269,3_sp_gt_3,6667140,0.1
270,3_sp_gt_3,10471522,0.01
271,3_sp_gt_3,10471522,0.1
272,3_sp_gt_3,115475,0.01
273,3_sp_gt_3,115475,0.1
274,3_sp_gt_3,2721265,0.01
275,3_sp_gt_3,2721265,0.1
276,3_sp_gt_3,309357,0.01
277,3_sp_gt_3,309357,0.1
278,3_sp_gt_3,9668522,0.01
279,3_sp_gt_3,9668522,0.1
280,3_sp_gt_3,2698393,0.01
281,3_sp_gt_3,2698393,0.1
282,3_sp_gt_3,9638443,0.01
283,3_sp_gt_3,9638443,0.1
284,3_sp_gt_3,11499954,0.01
285,3_sp_gt_3,11499954,0.1
286,3_sp_gt_3,1444356,0.01
287,3_sp_gt_3,1444356,0.1
288,3_sp_gt_3,8745245,0.01
289,3_sp_gt_3,8745245,0.1
290,3_sp_gt_3,7964854,0.01
291,3_sp_gt_3,7964854,0.1
292,3_sp_gt_3,1768742,0.01
293,3_sp_gt_3,1768742,0.1
294,3_sp_gt_3,8139908,0.01
295,3_sp_gt_3,8139908,0.1
296,3_sp_gt_3,10646715,0.01
297,3_sp_gt_3,10646715,0.1
298,3_sp_gt_3,10999907,0.01
299,3_sp_gt_3,10999907,0.1
300,3_sp_gt_4,36656,0.01
301,3_sp_gt_4,36656,0.1
302,3_sp_gt_4,2369231,0.01
303,3_sp_gt_4,2369231,0.1
304,3_sp_gt_4,416304,0.01
305,3_sp_gt_4,416304,0.1
306,3_sp_gt_4,10488077,0.01
307,3_sp_gt_4,10488077,0.1
308,3_sp_gt_4,8982779,0.01
309,3_sp_gt_4,8982779,0.1
310,3_sp_gt_4,12733201,0.01
311,3_sp_gt_4,12733201,0.1
312,3_sp_gt_4,9845126,0.01
313,3_sp_gt_4,9845126,0.1
314,3_sp_gt_4,9036584,0.01
315,3_sp_gt_4,9036584,0.1
316,3_sp_gt_4,5140131,0.01
317,3_sp_gt_4,5140131,0.1
318,3_sp_gt_4,8493390,0.01
319,3_sp_gt_4,8493390,0.1
320,3_sp_gt_4,3049039,0.01
321,3_sp_gt_4,3049039,0.1
322,3_sp_gt_4,2753893,0.01
323,3_sp_gt_4,2753893,0.1
324,3_sp_gt_4,11563241,0.01
325,3_sp_gt_4,11563241,0.1
326,3_sp_gt_4,5589942,0.01
327,3_sp_gt_4,5589942,0.1
328,3_sp_gt_4,2091765,0.01
329,3_sp_gt_4,2091765,0.1
330,3_sp_gt_4,2905119,0.01
331,3_sp_gt_4,2905119,0.1
332,3_sp_gt_4,4240255,0.01
333,3_sp_gt_4,4240255,0.1
334,3_sp_gt_4,10011807,0.01
335,3_sp_gt_4,10011807,0.1
336,3_sp_gt_4,5576645,0.01
337,3_sp_gt_4,5576645,0.1
338,3_sp_gt_4,591973,0.01
339,3_sp_gt_4,591973,0.1
340,3_sp_gt_4,4211685,0.01
341,3_sp_gt_4,4211685,0.1
342,3_sp_gt_4,9275155,0.01
343,3_sp_gt_4,9275155,0.1
344,3_sp_gt_4,10793741,0.01
345,3_sp_gt_4,10793741,0.1
346,3_sp_gt_4,41300,0.01
347,3_sp_gt_4,41300,0.1
348,3_sp_gt_4,2858482,0.01
349,3_sp_gt_4,2858482,0.1
350,3_sp_gt_4,6550368,0.01
351,3_sp_gt_4,6550368,0.1
352,3_sp_gt_4,3346496,0.01
353,3_sp_gt_4,3346496,0.1
354,3_sp_gt_4,12305126,0.01
355,3_sp_gt_4,12305126,0.1
356,3_sp_gt_4,8717317,0.01
357,3_sp_gt_4,8717317,0.1
358,3_sp_gt_4,6543552,0.01
359,3_sp_gt_4,6543552,0.1
360,3_sp_gt_4,5614865,0.01
361,3_sp_gt_4,5614865,0.1
362,3_sp_gt_4,9104526,0.01
363,3_sp_gt_4,9104526,0.1
364,3_sp_gt_4,10435541,0.01
365,3_sp_gt_4,10435541,0.1
366,3_sp_gt_4,11942766,0.01
367,3_sp_gt_4,11942766,0.1
368,3_sp_gt_4,6667140,0.01
369,3_sp_gt_4,6667140,0.1
370,3_sp_gt_4,10471522,0.01
371,3_sp_gt_4,10471522,0.1
372,3_sp_gt_4,115475,0.01
373,3_sp_gt_4,115475,0.1
374,3_sp_gt_4,2721265,0.01
375,3_sp_gt_4,2721265,0.1
376,3_sp_gt_4,309357,0.01
377,3_sp_gt_4,309357,0.1
378,3_sp_gt_4,9668522,0.01
379,3_sp_gt_4,9668522,0.1
380,3_sp_gt_4,2698393,0.01
381,3_sp_gt_4,2698393,0.1
382,3_sp_gt_4,9638443,0.01
383,3_sp_gt_4,9638443,0.1
384,3_sp_gt_4,11499954,0.01
385,3_sp_gt_4,11499954,0.1
386,3_sp_gt_4,1444356,0.01
387,3_sp_gt_4,1444356,0.1
388,3_sp_gt_4,8745245,0.01
389,3_sp_gt_4,8745245,0.1
390,3_sp_gt_4,7964854,0.01
391,3_sp_gt_4,7964854,0.1
392,3_sp_gt_4,1768742,0.01
393,3_sp_gt_4,1768742,0.1
394,3_sp_gt_4,8139908,0.01
395,3_sp_gt_4,8139908,0.1
396,3_sp_gt_4,10646715,0.01
397,3_sp_gt_4,10646715,0.1
398,3_sp_gt_4,10999907,0.01
399,3_sp_gt_4,10999907,0.1
400,3_sp_gt_5,36656,0.01
401,3_sp_gt_5,36656,0.1
402,3_sp_gt_5,2369231,0.01
403,3_sp_gt_5,2369231,0.1
404,3_sp_gt_5,416304,0.01
405,3_sp_gt_5,416304,0.1
406,3_sp_gt_5,10488077,0.01
407,3_sp_gt_5,10488077,0.1
408,3_sp_gt_5,8982779,0.01
409,3_sp_gt_5,8982779,0.1
410,3_sp_gt_5,12733201,0.01
411,3_sp_gt_5,12733201,0.1
412,3_sp_gt_5,9845126,0.01
413,3_sp_gt_5,9845126,0.1
414,3_sp_gt_5,9036584,0.01
415,3_sp_gt_5,9036584,0.1
416,3_sp_gt_5,5140131,0.01
417,3_sp_gt_5,5140131,0.1
418,3_sp_gt_5,8493390,0.01
419,3_sp_gt_5,8493390,0.1
420,3_sp_gt_5,3049039,0.01
421,3_sp_gt_5,3049039,0.1
422,3_sp_gt_5,2753893,0.01
423,3_sp_gt_5,2753893,0.1
424,3_sp_gt_5,11563241,0.01
425,3_sp_gt_5,11563241,0.1
426,3_sp_gt_5,5589942,0.01
427,3_sp_gt_5,5589942,0.1
428,3_sp_gt_5,2091765,0.01
429,3_sp_gt_5,2091765,0.1
430,3_sp_gt_5,2905119,0.01
431,3_sp_gt_5,2905119,0.1
432,3_sp_gt_5,4240255,0.01
433,3_sp_gt_5,4240255,0.1
434,3_sp_gt_5,10011807,0.01
435,3_sp_gt_5,10011807,0.1
436,3_sp_gt_5,5576645,0.01
437,3_sp_gt_5,5576645,0.1
438,3_sp_gt_5,591973,0.01
439,3_sp_gt_5,591973,0.1
440,3_sp_gt_5,4211685,0.01
441,3_sp_gt_5,4211685,0.1
442,3_sp_gt_5,9275155,0.01
443,3_sp_gt_5,9275155,0.1
444,3_sp_gt_5,10793741,0.01
445,3_sp_gt_5,10793741,0.1
446,3_sp_gt_5,41300,0.01
447,3_sp_gt_5,41300,0.1
448,3_sp_gt_5,2858482,0.01
449,3_sp_gt_5,2858482,0.1
450,3_sp_gt_5,6550368,0.01
451,3_sp_gt_5,6550368,0.1
452,3_sp_gt_5,3346496,0.01
453,3_sp_gt_5,3346496,0.1
454,3_sp_gt_5,12305126,0.01
455,3_sp_gt_5,12305126,0.1
456,3_sp_gt_5,8717317,0.01
457,3_sp_gt_5,8717317,0.1
458,3_sp_gt_5,6543552,0.01
459,3_sp_gt_5,6543552,0.1
460,3_sp_gt_5,5614865,0.01
461,3_sp_gt_5,5614865,0.1
462,3_sp_gt_5,9104526,0.01
463,3_sp_gt_5,9104526,0.1
464,3_sp_gt_5,10435541,0.01
465,3_sp_gt_5,10435541,0.1
466,3_sp_gt_5,11942766,0.01
467,3_sp_gt_5,11942766,0.1
468,3_sp_gt_5,6667140,0.01
469,3_sp_gt_5,6667140,0.1
470,3_sp_gt_5,10471522,0.01
471,3_sp_gt_5,10471522,0.1
472,3_sp_gt_5,115475,0.01
473,3_sp_gt_5,115475,0.1
474,3_sp_gt_5,2721265,0.01
475,3_sp_gt_5,2721265,0.1
476,3_sp_gt_5,309357,0.01
477,3_sp_gt_5,309357,0.1
478,3_sp_gt_5,9668522,0.01
479,3_sp_gt_5,9668522,0.1
480,3_sp_gt_5,2698393,0.01
481,3_sp_gt_5,2698393,0.1
482,3_sp_gt_5,9638443,0.01
483,3_sp_gt_5,9638443,0.1
484,3_sp_gt_5,11499954,0.01
485,3_sp_gt_5,11499954,0.1
486,3_sp_gt_5,1444356,0.01
487,3_sp_gt_5,1444356,0.1
488,3_sp_gt_5,8745245,0.01
489,3_sp_gt_5,8745245,0.1
490,3_sp_gt_5,7964854,0.01
491,3_sp_gt_5,7964854,0.1
492,3_sp_gt_5,1768742,0.01
493,3_sp_gt_5,1768742,0.1
494,3_sp_gt_5,8139908,0.01
495,3_sp_gt_5,8139908,0.1
496,3_sp_gt_5,10646715,0.01
497,3_sp_gt_5,10646715,0.1
498,3_sp_gt_5,10999907,0.01
499,3_sp_gt_5,10999907,0.1
500,3_sp_gt_6,36656,0.01
501,3_sp_gt_6,36656,0.1
502,3_sp_gt_6,2369231,0.01
503,3_sp_gt_6,2369231,0.1
504,3_sp_gt_6,416304,0.01
505,3_sp_gt_6,416304,0.1
506,3_sp_gt_6,10488077,0.01
507,3_sp_gt_6,10488077,0.1
508,3_sp_gt_6,8982779,0.01
509,3_sp_gt_6,8982779,0.1
510,3_sp_gt_6,12733201,0.01
511,3_sp_gt_6,12733201,0.1
512,3_sp_gt_6,9845126,0.01
513,3_sp_gt_6,9845126,0.1
514,3_sp_gt_6,9036584,0.01
515,3_sp_gt_6,9036584,0.1
516,3_sp_gt_6,5140131,0.01
517,3_sp_gt_6,5140131,0.1
518,3_sp_gt_6,8493390,0.01
519,3_sp_gt_6,8493390,0.1
520,3_sp_gt_6,3049039,0.01
521,3_sp_gt_6,3049039,0.1
522,3_sp_gt_6,2753893,0.01
523,3_sp_gt_6,2753893,0.1
524,3_sp_gt_6,11563241,0.01
525,3_sp_gt_6,11563241,0.1
526,3_sp_gt_6,5589942,0.01
527,3_sp_gt_6,5589942,0.1
528,3_sp_gt_6,2091765,0.01
529,3_sp_gt_6,2091765,0.1
530,3_sp_gt_6,2905119,0.01
531,3_sp_gt_6,2905119,0.1
532,3_sp_gt_6,4240255,0.01
533,3_sp_gt_6,4240255,0.1
534,3_sp_gt_6,10011807,0.01
535,3_sp_gt_6,10011807,0.1
536,3_sp_gt_6,5576645,0.01
537,3_sp_gt_6,5576645,0.1
538,3_sp_gt_6,591973,0.01
539,3_sp_gt_6,591973,0.1
540,3_sp_gt_6,4211685,0.01
541,3_sp_gt_6,4211685,0.1
542,3_sp_gt_6,9275155,0.01
543,3_sp_gt_6,9275155,0.1
544,3_sp_gt_6,10793741,0.01
545,3_sp_gt_6,10793741,0.1
546,3_sp_gt_6,41300,0.01
547,3_sp_gt_6,41300,0.1
548,3_sp_gt_6,2858482,0.01
549,3_sp_gt_6,2858482,0.1
550,3_sp_gt_6,6550368,0.01
551,3_sp_gt_6,6550368,0.1
552,3_sp_gt_6,3346496,0.01
553,3_sp_gt_6,3346496,0.1
554,3_sp_gt_6,12305126,0.01
555,3_sp_gt_6,12305126,0.1
556,3_sp_gt_6,8717317,0.01
557,3_sp_gt_6,8717317,0.1
558,3_sp_gt_6,6543552,0.01
559,3_sp_gt_6,6543552,0.1
560,3_sp_gt_6,5614865,0.01
561,3_sp_gt_6,5614865,0.1
562,3_sp_gt_6,9104526,0.01
563,3_sp_gt_6,9104526,0.1
564,3_sp_gt_6,10435541,0.01
565,3_sp_gt_6,10435541,0.1
566,3_sp_gt_6,11942766,0.01
567,3_sp_gt_6,11942766,0.1
568,3_sp_gt_6,6667140,0.01
569,3_sp_gt_6,6667140,0.1
570,3_sp_gt_6,10471522,0.01
571,3_sp_gt_6,10471522,0.1
572,3_sp_gt_6,115475,0.01
573,3_sp_gt_6,115475,0.1
574,3_sp_gt_6,2721265,0.01
575,3_sp_gt_6,2721265,0.1
576,3_sp_gt_6,309357,0.01
577,3_sp_gt_6,309357,0.1
578,3_sp_gt_6,9668522,0.01
579,3_sp_gt_6,9668522,0.1
580,3_sp_gt_6,2698393,0.01
581,3_sp_gt_6,2698393,0.1
582,3_sp_gt_6,9638443,0.01
583,3_sp_gt_6,9638443,0.1
584,3_sp_gt_6,11499954,0.01
585,3_sp_gt_6,11499954,0.1
586,3_sp_gt_6,1444356,0.01
587,3_sp_gt_6,1444356,0.1
588,3_sp_gt_6,8745245,0.01
589,3_sp_gt_6,8745245,0.1
590,3_sp_gt_6,7964854,0.01
591,3_sp_gt_6,7964854,0.1
592,3_sp_gt_6,1768742,0.01
593,3_sp_gt_6,1768742,0.1
594,3_sp_gt_6,8139908,0.01
595,3_sp_gt_6,8139908,0.1
596,3_sp_gt_6,10646715,0.01
597,3_sp_gt_6,10646715,0.1
598,3_sp_gt_6,10999907,0.01
599,3_sp_gt_6,10999907,0.1
600,3_sp_gt_7,36656,0.01
601,3_sp_gt_7,36656,0.1
602,3_sp_gt_7,2369231,0.01
603,3_sp_gt_7,2369231,0.1
604,3_sp_gt_7,416304,0.01
605,3_sp_gt_7,416304,0.1
606,3_sp_gt_7,10488077,0.01
607,3_sp_gt_7,10488077,0.1
608,3_sp_gt_7,8982779,0.01
609,3_sp_gt_7,8982779,0.1
610,3_sp_gt_7,12733201,0.01
611,3_sp_gt_7,12733201,0.1
612,3_sp_gt_7,9845126,0.01
613,3_sp_gt_7,9845126,0.1
614,3_sp_gt_7,9036584,0.01
615,3_sp_gt_7,9036584,0.1
616,3_sp_gt_7,5140131,0.01
617,3_sp_gt_7,5140131,0.1
618,3_sp_gt_7,8493390,0.01
619,3_sp_gt_7,8493390,0.1
620,3_sp_gt_7,3049039,0.01
621,3_sp_gt_7,3049039,0.1
622,3_sp_gt_7,2753893,0.01
623,3_sp_gt_7,2753893,0.1
624,3_sp_gt_7,11563241,0.01
625,3_sp_gt_7,11563241,0.1
626,3_sp_gt_7,5589942,0.01
627,3_sp_gt_7,5589942,0.1
628,3_sp_gt_7,2091765,0.01
629,3_sp_gt_7,2091765,0.1
630,3_sp_gt_7,2905119,0.01
631,3_sp_gt_7,2905119,0.1
632,3_sp_gt_7,4240255,0.01
633,3_sp_gt_7,4240255,0.1
634,3_sp_gt_7,10011807,0.01
635,3_sp_gt_7,10011807,0.1
636,3_sp_gt_7,5576645,0.01
637,3_sp_gt_7,5576645,0.1
638,3_sp_gt_7,591973,0.01
639,3_sp_gt_7,591973,0.1
640,3_sp_gt_7,4211685,0.01
641,3_sp_gt_7,4211685,0.1
642,3_sp_gt_7,9275155,0.01
643,3_sp_gt_7,9275155,0.1
644,3_sp_gt_7,10793741,0.01
645,3_sp_gt_7,10793741,0.1
646,3_sp_gt_7,41300,0.01
647,3_sp_gt_7,41300,0.1
648,3_sp_gt_7,2858482,0.01
649,3_sp_gt_7,2858482,0.1
650,3_sp_gt_7,6550368,0.01
651,3_sp_gt_7,6550368,0.1
652,3_sp_gt_7,3346496,0.01
653,3_sp_gt_7,3346496,0.1
654,3_sp_gt_7,12305126,0.01
655,3_sp_gt_7,12305126,0.1
656,3_sp_gt_7,8717317,0.01
657,3_sp_gt_7,8717317,0.1
658,3_sp_gt_7,6543552,0.01
659,3_sp_gt_7,6543552,0.1
660,3_sp_gt_7,5614865,0.01
661,3_sp_gt_7,5614865,0.1
662,3_sp_gt_7,9104526,0.01
663,3_sp_gt_7,9104526,0.1
664,3_sp_gt_7,10435541,0.01
665,3_sp_gt_7,10435541,0.1
666,3_sp_gt_7,11942766,0.01
667,3_sp_gt_7,11942766,0.1
668,3_sp_gt_7,6667140,0.01
669,3_sp_gt_7,6667140,0.1
670,3_sp_gt_7,10471522,0.01
671,3_sp_gt_7,10471522,0.1
672,3_sp_gt_7,115475,0.01
673,3_sp_gt_7,115475,0.1
674,3_sp_gt_7,2721265,0.01
675,3_sp_gt_7,2721265,0.1
676,3_sp_gt_7,309357,0.01
677,3_sp_gt_7,309357,0.1
678,3_sp_gt_7,9668522,0.01
679,3_sp_gt_7,9668522,0.1
680,3_sp_gt_7,2698393,0.01
681,3_sp_gt_7,2698393,0.1
682,3_sp_gt_7,9638443,0.01
683,3_sp_gt_7,9638443,0.1
684,3_sp_gt_7,11499954,0.01
685,3_sp_gt_7,11499954,0.1
686,3_sp_gt_7,1444356,0.01
687,3_sp_gt_7,1444356,0.1
688,3_sp_gt_7,8745245,0.01
689,3_sp_gt_7,8745245,0.1
690,3_sp_gt_7,7964854,0.01
691,3_sp_gt_7,7964854,0.1
692,3_sp_gt_7,1768742,0.01
693,3_sp_gt_7,1768742,0.1
694,3_sp_gt_7,8139908,0.01
695,3_sp_gt_7,8139908,0.1
696,3_sp_gt_7,10646715,0.01
697,3_sp_gt_7,10646715,0.1
698,3_sp_gt_7,10999907,0.01
699,3_sp_gt_7,10999907,0.1
700,3_sp_gt_8,36656,0.01
701,3_sp_gt_8,36656,0.1
702,3_sp_gt_8,2369231,0.01
