,did,n_species,ground_truth,noise,n_timeseries,n_timepoints,sampling_scheme
0,144,3,3_sp_gt_5,0.01,10,5,even
0,145,3,3_sp_gt_5,0.01,10,15,even
0,146,3,3_sp_gt_5,0.01,10,5,random
0,147,3,3_sp_gt_5,0.01,10,15,random
0,148,3,3_sp_gt_5,0.01,10,5,seq
0,149,3,3_sp_gt_5,0.01,10,15,seq
0,150,3,3_sp_gt_5,0.01,25,5,even
0,151,3,3_sp_gt_5,0.01,25,15,even
0,152,3,3_sp_gt_5,0.01,25,5,random
0,153,3,3_sp_gt_5,0.01,25,15,random
0,154,3,3_sp_gt_5,0.01,25,5,seq
0,155,3,3_sp_gt_5,0.01,25,15,seq
0,156,3,3_sp_gt_5,0.01,50,5,even
0,157,3,3_sp_gt_5,0.01,50,15,even
0,158,3,3_sp_gt_5,0.01,50,5,random
0,159,3,3_sp_gt_5,0.01,50,15,random
0,160,3,3_sp_gt_5,0.01,50,5,seq
0,161,3,3_sp_gt_5,0.01,50,15,seq
0,162,3,3_sp_gt_5,0.1,10,5,even
0,163,3,3_sp_gt_5,0.1,10,15,even
0,164,3,3_sp_gt_5,0.1,10,5,random
0,165,3,3_sp_gt_5,0.1,10,15,random
0,166,3,3_sp_gt_5,0.1,10,5,seq
0,167,3,3_sp_gt_5,0.1,10,15,seq
0,168,3,3_sp_gt_5,0.1,25,5,even
0,169,3,3_sp_gt_5,0.1,25,15,even
0,170,3,3_sp_gt_5,0.1,25,5,random
0,171,3,3_sp_gt_5,0.1,25,15,random
0,172,3,3_sp_gt_5,0.1,25,5,seq
0,173,3,3_sp_gt_5,0.1,25,15,seq
0,174,3,3_sp_gt_5,0.1,50,5,even
0,175,3,3_sp_gt_5,0.1,50,15,even
0,176,3,3_sp_gt_5,0.1,50,5,random
0,177,3,3_sp_gt_5,0.1,50,15,random
0,178,3,3_sp_gt_5,0.1,50,5,seq
0,179,3,3_sp_gt_5,0.1,50,15,seq
0,180,3,3_sp_gt_6,0.01,10,5,even
0,181,3,3_sp_gt_6,0.01,10,15,even
0,182,3,3_sp_gt_6,0.01,10,5,random
0,183,3,3_sp_gt_6,0.01,10,15,random
0,184,3,3_sp_gt_6,0.01,10,5,seq
0,185,3,3_sp_gt_6,0.01,10,15,seq
0,186,3,3_sp_gt_6,0.01,25,5,even
0,187,3,3_sp_gt_6,0.01,25,15,even
0,188,3,3_sp_gt_6,0.01,25,5,random
0,189,3,3_sp_gt_6,0.01,25,15,random
0,190,3,3_sp_gt_6,0.01,25,5,seq
0,191,3,3_sp_gt_6,0.01,25,15,seq
0,192,3,3_sp_gt_6,0.01,50,5,even
0,193,3,3_sp_gt_6,0.01,50,15,even
0,194,3,3_sp_gt_6,0.01,50,5,random
0,195,3,3_sp_gt_6,0.01,50,15,random
0,196,3,3_sp_gt_6,0.01,50,5,seq
0,197,3,3_sp_gt_6,0.01,50,15,seq
0,198,3,3_sp_gt_6,0.1,10,5,even
0,199,3,3_sp_gt_6,0.1,10,15,even
0,200,3,3_sp_gt_6,0.1,10,5,random
0,201,3,3_sp_gt_6,0.1,10,15,random
0,202,3,3_sp_gt_6,0.1,10,5,seq
0,203,3,3_sp_gt_6,0.1,10,15,seq
0,204,3,3_sp_gt_6,0.1,25,5,even
0,205,3,3_sp_gt_6,0.1,25,15,even
0,206,3,3_sp_gt_6,0.1,25,5,random
0,207,3,3_sp_gt_6,0.1,25,15,random
0,208,3,3_sp_gt_6,0.1,25,5,seq
0,209,3,3_sp_gt_6,0.1,25,15,seq
0,210,3,3_sp_gt_6,0.1,50,5,even
0,211,3,3_sp_gt_6,0.1,50,15,even
0,212,3,3_sp_gt_6,0.1,50,5,random
0,213,3,3_sp_gt_6,0.1,50,15,random
0,214,3,3_sp_gt_6,0.1,50,5,seq
0,215,3,3_sp_gt_6,0.1,50,15,seq
0,216,3,3_sp_gt_7,0.01,10,5,even
0,217,3,3_sp_gt_7,0.01,10,15,even
0,218,3,3_sp_gt_7,0.01,10,5,random
0,219,3,3_sp_gt_7,0.01,10,15,random
0,220,3,3_sp_gt_7,0.01,10,5,seq
0,221,3,3_sp_gt_7,0.01,10,15,seq
0,222,3,3_sp_gt_7,0.01,25,5,even
0,223,3,3_sp_gt_7,0.01,25,15,even
0,224,3,3_sp_gt_7,0.01,25,5,random
0,225,3,3_sp_gt_7,0.01,25,15,random
0,226,3,3_sp_gt_7,0.01,25,5,seq
0,227,3,3_sp_gt_7,0.01,25,15,seq
0,228,3,3_sp_gt_7,0.01,50,5,even
0,229,3,3_sp_gt_7,0.01,50,15,even
0,230,3,3_sp_gt_7,0.01,50,5,random
0,231,3,3_sp_gt_7,0.01,50,15,random
0,232,3,3_sp_gt_7,0.01,50,5,seq
0,233,3,3_sp_gt_7,0.01,50,15,seq
0,234,3,3_sp_gt_7,0.1,10,5,even
0,235,3,3_sp_gt_7,0.1,10,15,even
0,236,3,3_sp_gt_7,0.1,10,5,random
0,237,3,3_sp_gt_7,0.1,10,15,random
0,238,3,3_sp_gt_7,0.1,10,5,seq
0,239,3,3_sp_gt_7,0.1,10,15,seq
0,240,3,3_sp_gt_7,0.1,25,5,even
0,241,3,3_sp_gt_7,0.1,25,15,even
0,242,3,3_sp_gt_7,0.1,25,5,random
0,243,3,3_sp_gt_7,0.1,25,15,random
0,244,3,3_sp_gt_7,0.1,25,5,seq
0,245,3,3_sp_gt_7,0.1,25,15,seq
0,246,3,3_sp_gt_7,0.1,50,5,even
0,247,3,3_sp_gt_7,0.1,50,15,even
0,248,3,3_sp_gt_7,0.1,50,5,random
0,249,3,3_sp_gt_7,0.1,50,15,random
0,250,3,3_sp_gt_7,0.1,50,5,seq
0,251,3,3_sp_gt_7,0.1,50,15,seq
0,252,3,3_sp_gt_8,0.01,10,5,even
0,253,3,3_sp_gt_8,0.01,10,15,even
0,254,3,3_sp_gt_8,0.01,10,5,random
0,255,3,3_sp_gt_8,0.01,10,15,random
0,256,3,3_sp_gt_8,0.01,10,5,seq
0,257,3,3_sp_gt_8,0.01,10,15,seq
0,258,3,3_sp_gt_8,0.01,25,5,even
0,259,3,3_sp_gt_8,0.01,25,15,even
0,260,3,3_sp_gt_8,0.01,25,5,random
0,261,3,3_sp_gt_8,0.01,25,15,random
0,262,3,3_sp_gt_8,0.01,25,5,seq
0,263,3,3_sp_gt_8,0.01,25,15,seq
0,264,3,3_sp_gt_8,0.01,50,5,even
0,265,3,3_sp_gt_8,0.01,50,15,even
0,266,3,3_sp_gt_8,0.01,50,5,random
0,267,3,3_sp_gt_8,0.01,50,15,random
0,268,3,3_sp_gt_8,0.01,50,5,seq
0,269,3,3_sp_gt_8,0.01,50,15,seq
0,270,3,3_sp_gt_8,0.1,10,5,even
0,271,3,3_sp_gt_8,0.1,10,15,even
0,272,3,3_sp_gt_8,0.1,10,5,random
0,273,3,3_sp_gt_8,0.1,10,15,random
0,274,3,3_sp_gt_8,0.1,10,5,seq
0,275,3,3_sp_gt_8,0.1,10,15,seq
0,276,3,3_sp_gt_8,0.1,25,5,even
0,277,3,3_sp_gt_8,0.1,25,15,even
0,278,3,3_sp_gt_8,0.1,25,5,random
0,279,3,3_sp_gt_8,0.1,25,15,random
0,280,3,3_sp_gt_8,0.1,25,5,seq
0,281,3,3_sp_gt_8,0.1,25,15,seq
0,282,3,3_sp_gt_8,0.1,50,5,even
0,283,3,3_sp_gt_8,0.1,50,15,even
0,284,3,3_sp_gt_8,0.1,50,5,random
0,285,3,3_sp_gt_8,0.1,50,15,random
0,286,3,3_sp_gt_8,0.1,50,5,seq
0,287,3,3_sp_gt_8,0.1,50,15,seq
