,did,n_species,ground_truth,noise,n_timeseries,n_timepoints,sampling_scheme
0,117,3,3_sp_gt_7,0.1,10,5,seq
0,118,3,3_sp_gt_7,0.1,10,10,seq
0,119,3,3_sp_gt_7,0.1,10,15,seq
0,120,3,3_sp_gt_7,0.1,25,5,seq
0,121,3,3_sp_gt_7,0.1,25,10,seq
0,122,3,3_sp_gt_7,0.1,25,15,seq
0,123,3,3_sp_gt_7,0.1,50,5,seq
0,124,3,3_sp_gt_7,0.1,50,10,seq
0,125,3,3_sp_gt_7,0.1,50,15,seq
0,126,3,3_sp_gt_8,0.01,10,5,seq
0,127,3,3_sp_gt_8,0.01,10,10,seq
0,128,3,3_sp_gt_8,0.01,10,15,seq
0,129,3,3_sp_gt_8,0.01,25,5,seq
0,130,3,3_sp_gt_8,0.01,25,10,seq
0,131,3,3_sp_gt_8,0.01,25,15,seq
0,132,3,3_sp_gt_8,0.01,50,5,seq
0,133,3,3_sp_gt_8,0.01,50,10,seq
0,134,3,3_sp_gt_8,0.01,50,15,seq
0,135,3,3_sp_gt_8,0.1,10,5,seq
0,136,3,3_sp_gt_8,0.1,10,10,seq
0,137,3,3_sp_gt_8,0.1,10,15,seq
0,138,3,3_sp_gt_8,0.1,25,5,seq
0,139,3,3_sp_gt_8,0.1,25,10,seq
0,140,3,3_sp_gt_8,0.1,25,15,seq
0,141,3,3_sp_gt_8,0.1,50,5,seq
0,142,3,3_sp_gt_8,0.1,50,10,seq
0,143,3,3_sp_gt_8,0.1,50,15,seq
